TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C2_OBJ_NM,DT,PRD_SE,C2,C1,C1_NM,C1_NM_ENG,C2_NM,C2_NM_ENG
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,2165481,A,15315NJB000,15315HJG010002,충주시,Chungju-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,342659,A,15315NJB000,15315HJG010003,제천시,Jecheon-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,260044,A,15315NJB000,15315HJG010005,보은군,Boeun-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,378617,A,15315NJB000,15315HJG010006,옥천군,Okcheon-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,585709,A,15315NJB000,15315HJG010007,영동군,Yeongdong-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,772784,A,15315NJB000,15315HJG010008,진천군,Jincheon-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,386140,A,15315NJB000,15315HJG010009,괴산군,Goesan-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,1638851,A,15315NJB000,15315HJG010010,음성군,Eumseong-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,146226,A,15315NJB000,15315HJG010011,단양군,Danyang-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,317741,A,15315NJB000,15315HJG010012,증평군,Jeungpyeong-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,18082042,A,15315NJB000,15315HJG011,충청남도,Chungcheongnam-do,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,3153142,A,15315NJB000,15315HJG011001,천안시,Cheonan-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,743847,A,15315NJB000,15315HJG011002,공주시,Gongju-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,1716766,A,15315NJB000,15315HJG011003,보령시,Boryeong-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,1566758,A,15315NJB000,15315HJG011004,아산시,Asan-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,2156718,A,15315NJB000,15315HJG011005,서산시,Seosan-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,691742,A,15315NJB000,15315HJG011006,논산시,Nonsan-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,587283,A,15315NJB000,15315HJG011007,계룡시,Gyerong-si,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,120835,A,15315NJB000,15315HJG011008,금산군,Geumsan-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,15160,A,15315NJB000,15315HJG011010,부여군,Buyeo-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,617869,A,15315NJB000,15315HJG011011,서천군,Seocheon-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,58500,A,15315NJB000,15315HJG011012,청양군,Cheongyang-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,980588,A,15315NJB000,15315HJG011013,홍성군,Hongseong-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,856917,A,15315NJB000,15315HJG011014,예산군,Yesan-gun,계,Total
녹지,2018,TX_315_2009_H1037,면적,Area,16315T2009_004,㎡,460,㎡,소재지(시군구)별,녹지별,1922773,A,15315NJB000,15315HJG011015,태안군,Taean-gun,계,Total
