,소재지(시군구)별(1),소재지(시군구)별(2),2008,2008.5,2009,2009.5,2010,2010.5,2011,2011.5,2012,2012.5,2013,2013.5,2014,2014.5,2015,2015.5,2016,2016.5,2017,2017.5,2018,2018.5,2019,2019.5,2020,2020.5
0,소재지(시군구)별(1),소재지(시군구)별(2),10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상
1,소재지(시군구)별(1),소재지(시군구)별(2),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b)
96,전라남도,영광군,-,-,-,-,-,-,7646,0,7646,0,7646,0,7646,0,7646,0,7646,0,7646,0,-,-,-,-,-,-
97,전라남도,장성군,34197,0,34197,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,경상북도,소계,11068829,1609459,12685481,1484352,4208847,1537377,8808728,3560417,8715378,4220412,7672064,4937621,7665947,5056719,7700458,4387802,5458263,1873670,5094974,2037672,1248999,5812053,1141790,5699932,1141790,4065998
99,경상북도,포항시,-,-,206616,0,206616,0,206616,0,206323,0,213242,0,213242,0,213242,0,213242,0,14127,0,14127,0,5590,8537,5590,8537
100,경상북도,경주시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10259,0,10259,0,10259,0,10259,0,10259,0,10259,0
101,경상북도,김천시,0,55250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,경상북도,안동시,-,-,-,-,65545,0,65545,0,65545,0,65545,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,경상북도,구미시,0,515701,0,515701,182225,562026,4781896,2588526,3694743,2821402,2716325,3779038,2620033,3888042,2644285,3987942,197278,1622402,197278,1622402,197278,1574285,98606,1523192,98606,101777
104,경상북도,영주시,202204,0,202204,0,202204,0,202204,0,1410900,212519,1410900,212519,1410900,212519,1410900,212519,1410900,212519,1366351,257068,0,1623419,0,1560554,0,1348035
105,경상북도,경산시,0,201446,58260,201239,58260,201239,58260,201239,58260,201239,0,8400,0,8400,0,8400,0,8400,0,8400,0,8400,0,8400,0,8400
106,경상북도,의성군,214600,495090,214600,554217,214600,554217,214600,554217,0,768817,0,768817,0,768817,-,-,-,-,-,-,-,-,-,-,-,-
107,경상북도,청송군,-,-,8728776,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
