,소재지(시군구)별,도시및비도시지역별,항목,단위,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,Unnamed: 20
505,광명시,합계,면적[㎡],㎡,38509242.0,38510090.0,38506473.0,38503382.0,38503654.0,38505908.0,38516255.0,38515199.0,38513614.0,38518262.0,38516784.0,38517879.0,38520232.0,38525106.0,38526428.0,38528652.0,
510,김포시,합계,면적[㎡],㎡,276635531.0,276576820.0,276629938.0,276601415.0,276549846.0,276666884.0,276649891.0,276641513.0,276633483.0,276614787.0,276594489.0,276596966.0,276600491.0,276601538.0,276612088.0,276606185.0,
515,군포시,합계,면적[㎡],㎡,36361826.0,36356455.0,36358967.0,36360770.0,36361060.0,36361220.0,36363040.0,36460654.0,36459849.0,36410268.0,36410419.0,36412063.0,36415885.0,36416296.0,36416854.0,36416696.0,
520,광주시,합계,면적[㎡],㎡,431490287.0,431010689.0,430964918.0,430963328.0,430967711.0,430984445.0,430993540.0,430986077.0,430999681.0,430988595.0,431054603.0,431024613.0,431016915.0,430986232.0,430990347.0,430988537.0,
525,이천시,합계,면적[㎡],㎡,461232321.0,461276396.0,461286533.0,461283667.0,461294711.0,461297913.0,461343952.0,461307179.0,461357911.0,461361212.0,461363641.0,461380578.0,461426221.0,461402250.0,461421891.0,461430422.0,
530,양주시,합계,면적[㎡],㎡,310240071.0,310306294.0,310338631.0,310211337.0,310224187.0,310290756.0,310310180.0,310317437.0,310363943.0,310284292.0,310280977.0,310335183.0,310315259.0,310335583.0,310390297.0,310428456.0,
535,오산시,합계,면적[㎡],㎡,42755321.0,42754017.0,42753982.0,42768674.0,42770397.0,42770251.0,42770160.0,42736653.0,42731717.0,42734237.0,42730887.0,42727552.0,42726512.0,42722587.0,42707724.0,42705788.0,
540,구리시,합계,면적[㎡],㎡,33295759.0,33298186.0,33302104.0,33301364.0,33301915.0,33305087.0,33306493.0,33309794.0,33311155.0,33311429.0,33312014.0,33310589.0,33311789.0,33316965.0,33325064.0,33329250.0,
545,안성시,합계,면적[㎡],㎡,553459623.0,553466887.0,553505147.0,553507482.0,553477578.0,553461827.0,553474709.0,553436930.0,553443784.0,553430697.0,553410031.0,553392068.0,553397808.0,553398042.0,553418704.0,553460874.0,
550,포천시,합계,면적[㎡],㎡,826411967.0,826410979.0,826498296.0,826483205.0,826475901.0,826474171.0,826562000.0,826601132.0,826728201.0,826672548.0,826521808.0,826565850.0,826648999.0,826652314.0,826957493.0,826914482.0,
555,의왕시,합계,면적[㎡],㎡,53998953.0,54001759.0,54003117.0,54004429.0,54010853.0,54010688.0,54007686.0,54007689.0,53991233.0,53985682.0,53986174.0,53989366.0,53986775.0,53987839.0,53987611.0,54034386.0,
560,하남시,합계,면적[㎡],㎡,93073753.0,93069364.0,93066352.0,93038715.0,93040998.0,93041642.0,93036328.0,93036979.0,93032938.0,93031146.0,93028094.0,93028156.0,93006863.0,92992059.0,92991186.0,92987242.0,
565,여주시,합계,면적[㎡],㎡,,,,,,,,,608316175.0,608386082.0,608316183.0,608368019.0,608336502.0,608312726.0,608298372.0,608264029.0,
570,여주군,합계,면적[㎡],㎡,607864868.0,607834134.0,607784161.0,607716859.0,607722944.0,607735496.0,608290689.0,608366733.0,,,,,,,,,
575,양평군,합계,면적[㎡],㎡,877734227.0,877802862.0,877808427.0,877806719.0,877754605.0,877764325.0,877773963.0,877806145.0,877776441.0,877777974.0,877690918.0,877691672.0,877693097.0,877727400.0,877651360.0,877693231.0,
580,동두천시,합계,면적[㎡],㎡,95666326.0,95660622.0,95660712.0,95660305.0,95658330.0,95655367.0,95658900.0,95659336.0,95659108.0,95660761.0,95667585.0,95673724.0,95658808.0,95663249.0,95664308.0,95666945.0,
585,과천시,합계,면적[㎡],㎡,35851905.0,35852616.0,35852307.0,35855199.0,35857770.0,35857521.0,35865994.0,35866155.0,35866371.0,35866821.0,35866891.0,35867547.0,35868073.0,35868007.0,35868319.0,35870153.0,
