Unnamed: 0,지역별(1),지역별(2),2015.2/2,2015.2/2.1,2016.2/2,2016.2/2.1,2017.2/2,2017.2/2.1,2018.2/2,2018.2/2.1,2019.2/2,2019.2/2.1,2020.2/2,2020.2/2.1,2021.1/2,2021.1/2.1
0,지역별(1),지역별(2),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡),공장수 (개사),면적 (㎡)
54,인천광역시,소계,4542,11941050,4535,12167708,4321,11935923,4460,12096687,4568,11921679,4249,11766083,4316,11819374
55,인천광역시,중구,110,1514096,116,1605896,117,1605828,123,1635456,131,1647497,141,1666355,145,1664240
56,인천광역시,동구,209,1933471,213,1903560,215,1902773,214,1882801,218,1910577,224,1918375,226,1916721
57,인천광역시,미추홀구,286,511536,305,531398,319,541490,339,443113,348,202197,356,201362,370,328151
58,인천광역시,연수구,154,707421,176,917269,205,942907,186,948091,202,996775,212,1006426,224,1026928
59,인천광역시,남동구,492,374820,474,369799,507,376185,541,380914,570,395499,488,370698,490,381296
60,인천광역시,부평구,694,1418541,718,1428437,765,1457142,789,1635931,796,1559931,493,1406862,503,1397790
61,인천광역시,계양구,402,451265,394,437903,382,421945,391,455190,383,441950,387,434966,382,351780
62,인천광역시,서구,2187,5012317,2131,4955862,1804,4670318,1870,4697856,1912,4749261,1939,4742313,1967,4733740
63,인천광역시,강화군,7,17227,7,17227,6,16978,6,16978,7,17637,8,18370,8,18370
64,인천광역시,옹진군,1,357,1,357,1,357,1,357,1,357,1,357,1,357
65,광주광역시,소계,1666,3785533,1736,3931709,1820,4024819,1842,3999566,1908,4115325,1724,3965791,1740,3987089
66,광주광역시,동구,172,28798,171,28143,173,29196,176,29547,182,30534,176,29497,177,29749
67,광주광역시,서구,334,1382268,355,1422461,357,1433561,355,1430577,389,1482220,354,1424783,358,1431553
68,광주광역시,남구,106,147240,106,149005,114,151904,114,139403,121,153602,97,143260,101,145267
69,광주광역시,북구,382,944089,389,988668,407,1012519,414,1014077,408,1026679,386,1013224,384,1011132
70,광주광역시,광산구,672,1283138,715,1343433,769,1397639,783,1385962,808,1422290,711,1355028,720,1369387
71,대전광역시,소계,1104,2170883,1158,2193986,1113,1929410,1163,1864765,1208,2021525,1259,2123190,1293,2150077
72,대전광역시,동구,230,123437,234,134891,246,145422,257,158823,269,305550,292,332999,305,349049
73,대전광역시,중구,121,68971,130,69679,133,70117,133,64754,136,71776,114,61115,117,56742
74,대전광역시,서구,116,201756,129,196089,138,203965,137,117042,142,120446,162,123296,165,123576
75,대전광역시,유성구,118,173132,124,173519,137,135292,163,148541,168,148552,189,211714,201,219481
76,대전광역시,대덕구,519,1603587,541,1619809,459,1374614,473,1375605,493,1375201,502,1394067,505,1401230
77,울산광역시,소계,981,4376568,1006,4428435,1019,4488672,1031,4371867,1056,4384455,1062,4392842,1085,4593195
78,울산광역시,중구,76,38274,80,39566,84,40215,82,40252,87,40423,71,26345,70,24385
79,울산광역시,남구,133,151437,136,151223,139,150930,144,62873,146,63518,154,97130,159,264734
80,울산광역시,동구,6,23920,8,25227,8,25227,8,25227,9,25347,11,25624,12,25708
81,울산광역시,북구,50,72802,50,70829,51,71157,53,71965,55,71470,46,61269,53,67215
82,울산광역시,울주군,716,4090136,732,4141591,737,4201143,744,4171552,759,4183697,780,4182474,791,4211153
83,세종특별자치시,소계,95,586515,99,559837,102,556964,104,553244,101,549783,97,531500,100,533204
84,경기도,소계,16668,31079403,16982,31075669,17529,31198737,17740,31242052,18011,31420194,17961,31823158,18307,32406012
85,경기도,수원,752,1779063,661,1731954,668,1711238,589,1689922,599,1675114,602,1679244,603,1663041
86,경기도,성남,836,165611,856,161263,872,161441,791,143376,808,158045,806,174525,780,169240
87,경기도,의정부,110,38544,119,46074,100,38136,104,38053,112,39646,116,40494,116,41509
88,경기도,안양,1701,1135344,1755,1121022,1805,1097829,1835,1098056,1882,1090065,1589,1062330,1599,1063279
89,경기도,부천,3072,1885834,3106,1746051,3193,1669979,3339,1642282,3442,1631367,3200,1539288,3279,1626751
90,경기도,광명,583,615517,590,616308,597,616795,595,602029,612,620500,629,629944,648,633965
91,경기도,평택,150,1742849,152,1744498,148,1684571,154,1526062,146,1497771,145,1499940,154,1531918
92,경기도,동두천,62,191732,60,186778,63,194751,66,193208,68,191848,72,212410,70,207545
93,경기도,안산,338,269513,367,279613,378,287090,384,287073,400,291506,417,296891,357,293337
94,경기도,고양,499,377855,438,352335,472,269757,387,168308,373,165754,394,161570,383,157598
95,경기도,과천,22,3897,22,3897,23,4168,24,4304,25,4582,12,3082,12,3082
96,경기도,구리,124,103635,119,64793,126,66282,129,67733,97,50744,109,54493,109,53881
97,경기도,남양주,338,389114,380,368972,399,378774,421,379263,443,391869,471,396290,470,389201
98,경기도,오산,172,880414,158,862966,162,749804,151,745697,144,647868,158,659558,156,639052
99,경기도,시흥,847,370762,861,376610,903,386566,906,394011,764,328445,779,326945,818,349040
100,경기도,군포,1519,1102231,1564,1138272,1619,1197729,1645,1240293,1607,1195042,1369,1030059,1407,1032498
101,경기도,의왕,545,452391,577,458743,607,506277,637,504691,553,490867,571,513814,573,512799
102,경기도,하남,397,377152,409,307006,426,310241,410,202558,503,320914,627,339201,665,340556
103,경기도,용인,1060,3959302,1122,4075869,1182,4209268,1234,4315000,1274,4308436,1393,4193821,1443,4410398
104,경기도,파주,67,258953,75,273524,82,276739,93,290113,93,273011,102,289710,111,331199
105,경기도,이천,205,2667411,208,2679567,204,2697427,204,2680860,211,2680974,219,2716434,217,2690480
106,경기도,안성,474,2345876,505,2415797,526,2541238,539,2647078,564,2662126,588,2796069,582,2891817
107,경기도,김포,1027,1798528,1059,1819821,1096,1859345,1130,1950349,1159,2022373,1216,2075705,1238,2080600
108,경기도,화성,837,5276253,879,5306001,935,5384756,972,5410432,1049,5524043,1217,5886578,1288,5926357
